name,city,price,stars,rating,image_url,buffet,pool,sea,view,review
Hanoi Pearl Hotel,Hanoi,950000,4,4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/15/79/c3/hanoi-pearl-hotel.jpg,FALSE,FALSE,FALSE,FALSE,"
<p style='font-size:18px; line-height:1.8; font-weight:bold; text-indent: 2em;'>
Khách sạn Hanoi Pearl, một khách sạn 4.0 sao nằm tại trung tâm Hà Nội, Việt Nam, là một điểm đến lý tưởng cho những ai muốn khám phá vẻ đẹp và văn hóa của thành phố cổ này. Với tọa lạc chỉ cách trung tâm thành phố 0.1 km, khách sạn này đem lại sự tiện lợi cho du khách khi muốn khám phá các điểm tham quan nổi tiếng trong khu vực. Hanoi Pearl Hotel có tổng cộng 70 phòng, đảm bảo rằng du khách sẽ có nơi nghỉ thoải mái và tiện nghi. Từ các phòng sang trọng và hiện đại cho đến các phòng gia đình rộng rãi, khách sạn này đáp ứng đa dạng nhu cầu của du khách. Với việc khách sạn được xây dựng vào năm 2013 và được tu sửa lại vào năm 2022, du khách có thể yên tâm về chất lượng và tiện nghi tại đây. Khách sạn Hanoi Pearl cho phép trẻ em từ 2 đến 5 tuổi lưu trú miễn phí, tạo điều kiện thuận lợi cho những gia đình đi du lịch cùng nhau. Đồng thời, với thời gian nhận phòng từ 02:00 PM và giờ trả phòng không sau 12:00 PM, du khách có thể thoải mái lên kế hoạch cho chuyến đi của mình. Dịch vụ đưa đón sân bay cũng được cung cấp, với thời gian đến sân bay chỉ mất khoảng 40 phút. Hãy trải nghiệm sự thoải mái và tiện nghi tại Hanoi Pearl Hotel và tận hưởng chuyến đi đáng nhớ tại Hà Nội.
<br>
<img src='/static/images/hotels/Hanoi Pearl Hotel/HanoiPearlHotel_review1.jpg' style='width:800px; display:block; margin:20px auto;'>
<br>
<p style='font-size:18px; line-height:1.8; font-weight:bold; text-indent: 2em;'>
Hanoi Pearl Hotel là một khách sạn tuyệt vời ở Hà Nội, Việt Nam, với nhiều tiện ích tiện lợi để đáp ứng nhu cầu của khách hàng. Khách sạn cung cấp dịch vụ phòng 24 giờ, giúp bạn có thể gọi đồ ăn và đồ uống ngay tại phòng mọi lúc trong ngày. Ngoài ra, khách sạn còn có dịch vụ giặt là, giúp bạn giữ quần áo luôn sạch sẽ và gọn gàng trong suốt thời gian lưu trú. Hanoi Pearl Hotel cũng cung cấp dịch vụ hỗ trợ phòng, bao gồm hộp đựng đồ có tính bảo mật, nhân viên lễ tân nhiệt tình và nhanh nhẹn. Bạn cũng có thể truy cập Wi-Fi miễn phí tại các khu vực công cộng của khách sạn. Nếu bạn là người hút thuốc, hãy yên tâm vì khách sạn có khu vực riêng để hút thuốc. Ngoài ra, Wi-Fi cũng được cung cấp miễn phí trong tất cả các phòng. Để tiện cho việc lưu trữ hành lý, khách sạn cung cấp dịch vụ giữ hành lý và dịch vụ làm sạch phòng hàng ngày. Cuối cùng, bạn cũng có thể tận hưởng không gian ấm cúng với lò sưởi trong phòng.
</p>
<img src='/static/images/hotels/Hanoi Pearl Hotel/HanoiPearlHotel_review2.jpg' style='width:800px; display:block; margin:20px auto;'>
<br>
<p style='font-size:18px; line-height:1.8; font-weight:bold; text-indent: 2em;'>
Hanoi Pearl Hotel nằm trong khu vực có nhiều điểm mua sắm hấp dẫn như Things of Substance, Ipa-Nima, Heydi Fashion House, Magonn Design, IndochinaSilk, Văn hóa Việt Nam, Pheva Chocolate Hà Nội, Nhà sách Infostones, Clouds và Nhà may Cao Minh. Khách sạn này là một điểm dừng chân lý tưởng cho những ai muốn khám phá thế giới của thời trang, nghệ thuật và văn hóa Việt Nam. Từ Hanoi Pearl Hotel, du khách có thể dễ dàng tiếp cận các cửa hàng thời trang độc đáo như Ipa-Nima và Heydi Fashion House, nơi bạn có thể tìm thấy những bộ trang phục độc đáo và phong cách. Nếu bạn yêu thích nghệ thuật và thiết kế, Magonn Design là một điểm đến không thể bỏ qua, với những sản phẩm sáng tạo và độc đáo. Đối với những ai muốn khám phá văn hóa Việt Nam, Văn hóa Việt Nam và Nhà sách Infostones là những địa điểm lý tưởng để tìm hiểu về lịch sử, văn hóa và nghệ thuật của đất nước. Nếu bạn muốn thưởng thức những món ngọt ngào, hãy ghé qua Pheva Chocolate Hà Nội, nơi bạn có thể mua các loại sô cô la thủ công độc đáo. Cuối cùng, Nhà may Cao Minh là một điểm đến tuyệt vời để tìm kiếm các sản phẩm may mặc chất lượng và thiết kế độc đáo.
</p>
<img src='/static/images/hotels/Hanoi Pearl Hotel/HanoiPearlHotel_review3.jpg' style='width:800px; display:block; margin:20px auto;'>
<br>
<p style='font-size:18px; line-height:1.8; font-weight:bold; text-indent: 2em;'>
Khách sạn Hanoi Pearl đã nhận được những đánh giá tích cực từ khách hàng với điểm tổng thể ấn tượng là 8.7 trên 10. Điều này chứng tỏ sự hài lòng và đáng giá của khách hàng đối với chất lượng dịch vụ tại khách sạn này. Bên cạnh đó, khách hàng cũng đánh giá cao về giá trị tiền mà họ nhận được khi lưu trú tại đây, với điểm đánh giá cho mục này là 8.6. Điều này cho thấy khách sạn Hanoi Pearl mang lại sự hài lòng và đáng giá cho khách hàng với mức giá phù hợp. Ngoài ra, khách sạn cũng nhận được những đánh giá tích cực về các tiện nghi tại đây, với điểm đánh giá là 8.1. Khách hàng đã thể hiện sự hài lòng với sự tiện ích và chất lượng của các dịch vụ mà khách sạn cung cấp. Điểm đánh giá cho ẩm thực tại khách sạn là 7.9, cho thấy khách hàng cũng đánh giá cao về chất lượng và đa dạng của các món ăn tại đây. Với những tiêu chí này, khách sạn Hanoi Pearl mang đến trải nghiệm ấn tượng và đáng nhớ cho khách hàng.
</p>"

Apricot Hotel,Hanoi,1200000,5,4.7,https://apricothotels.com/wp-content/uploads/2016/08/Hotel-lobby-s.jpg,FALSE,TRUE,FALSE,FALSE,"
<p style='font-size:18px; line-height:1.8; font-weight:bold; text-indent:2em;'>
Nằm ở bờ hồ Hoàn Kiếm, khách sạn Apricot Hotel được thiết kế sang trọng theo phong cách tân cổ điển này cung cấp chỗ ở hiện đại và cao cấp với truy cập Wi-Fi miễn phí trong toàn bộ khuôn viên. Chỗ nghỉ có tầm nhìn bao quát ra quang cảnh thành phố cũng như hồ nước từ hồ bơi trên tầng mái và trung tâm thể dục nhìn ra toàn cảnh. Chỗ đỗ xe miễn phí nằm ngay trong khuôn viên nơi này.
</p>
<img src='/static/images/hotels/Apricot Hotel/ApricotHotel_review1.jpg' style='width:800px; display:block; margin:20px auto;'>
<br>
<p style='font-size:18px; line-height:1.8; font-weight:bold; text-indent:2em;'>
Được thiết kế mang tính nghệ thuật, các phòng và suite máy lạnh ở đây có tủ quần áo, két an toàn (trong phòng), bàn làm việc, khu vực tiếp khách cũng như truyền hình cáp màn hình phẳng. Ngoài ra còn được trang bị ấm đun nước điện, minibar và tiện nghi ủi. Phòng tắm riêng đi kèm tiện nghi vòi sen, áo choàng tắm và máy sấy tóc.
</p>
<img src='/static/images/hotels/Apricot Hotel/ApricotHotel_review2.jpg' style='width:800px; display:block; margin:20px auto;'>
<br>
<p style='font-size:18px; line-height:1.8; font-weight:bold; text-indent:2em;'>
Đội ngũ nhân viên thân thiện tại lễ tân 24 giờ của Apricot Hotel có thể trợ giúp khách với các dịch vụ giặt là, thu đổi ngoại tệ và thu xếp các cuộc họp/tiệc. Các dịch vụ cho thuê xe hơi, đặt vé và tour du lịch cũng được đáp ứng. Những khách muốn có giây phút yên tĩnh, có thể khám phá thư viện của khách sạn nằm ở tầng 9.
</p>
<img src='/static/images/hotels/Apricot Hotel/ApricotHotel_review3.jpg' style='width:800px; display:block; margin:20px auto;'>
<br>
<p style='font-size:18px; line-height:1.8; font-weight:bold; text-indent:2em;'>
Khách sạn có quầy bar thời thượng trên tầng mái phục vụ tuyển chọn đồ uống ngon và cung cấp 2 lựa chọn ăn uống cho du khách. Du khách có thể thưởng thức một loạt các món ăn ngon của Việt Nam và phương Tây. Các bữa ăn theo chế độ đặc biệt cũng có thể được chuẩn bị khi khách yêu cầu.
</p>"

Golden Lotus Hotel,Hanoi,550000,3,3.5,https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?auto=format&fit=crop&w=800&q=60,FALSE,FALSE,FALSE,FALSE,"
<p style='font-size:18px; line-height:1.8; font-weight:bold; text-indent:2em;'>
Hãy tự hỏi tại sao nhiều khách du lịch đã lựa chọn Golden Lotus Boutique Hotel khi đến Hà Nội. Khách sạn là sự tổng hợp của những giá trị lý tưởng, sự thoải mái và thuận tiện như khung cảnh lãng mạn cùng với loạt tiện nghi được thiết kế cho những khách du lịch như bạn. Gần các địa danh như Nhà Thờ Lớn (0,2 km) và Imperial Citadel of Thang Long (1,1 km) đã làm Golden Lotus Boutique Hotel trở thành lựa chọn lý tưởng cho những ai muốn đến thăm những địa danh yêu thích này ở Hà Nội.
</p>
<img src='/static/images/hotels/Golden Lotus Hotel/GoldenLotusHotel_review1.jpg' style='width:800px; display:block; margin:20px auto;'>
<br>
<p style='font-size:18px; line-height:1.8; font-weight:bold; text-indent:2em;'>
Các phòng khách sạn cung cấp các tiện nghi như TV màn hình phẳng, điều hòa nhiệt độ và quầy bar mini, và khách có thể kết nối internet với Wi-Fi miễn phí được cung cấp bởi khách sạn. Golden Lotus Boutique Hotel cung cấp nhân viên hỗ trợ khách và dịch vụ phòng, giúp cho kỳ nghỉ của bạn trở nên dễ chịu hơn nữa. Khách sạn còn cung cấp bữa sáng. Khi ở đây, hãy chắc chắn thử một số nhà hàng kiểu Á, bao gồm Bun Cha Huong Lien, Bánh Mì 25 và Cau Go Vietnamese Cuisine Restaurant, đều nằm gần Golden Lotus Boutique Hotel.
</p>
<img src='/static/images/hotels/Golden Lotus Hotel/GoldenLotusHotel_review2.jpg' style='width:800px; display:block; margin:20px auto;'>
<br>
<p style='font-size:18px; line-height:1.8; font-weight:bold; text-indent:2em;'>
Hơn nữa, trong suốt kỳ nghỉ của bạn đừng quên ghé thăm một số viện bảo tàng nghệ thuật nổi tiếng, như Fine Arts Museum (Bao Tang My Thuat), Bảo Tàng Hồ Chí Minh và Phòng tranh 3D. Tại Golden Lotus Boutique Hotel, sự thoải mái và hài lòng của bạn được đặt lên hàng đầu, và họ mong muốn được chào đón bạn tới Hà Nội.
</p>
<img src='/static/images/hotels/Golden Lotus Hotel/GoldenLotusHotel_review3.jpg' style='width:800px; display:block; margin:20px auto;'>
<br>"

Little Charm Hostel,Hanoi,250000,2,4,https://images.unsplash.com/photo-1505691723518-36a5ac3be353?auto=format&fit=crop&w=800&q=60,FALSE,FALSE,FALSE,FALSE,"
<p style='font-size:18px; line-height:1.8; font-weight:bold; text-indent:2em;'>
Little Charm Hanoi Hostel là đề xuất hàng đầu dành cho những tín đồ du lịch bụi mong muốn được nghỉ tại một nơi nghỉ vừa thoải mái lại hợp túi tiền. Khi lưu trú tại nơi nghỉ thì nội thất và kiến trúc hẳn là hai yếu tố quan trọng khiến quý khách mãn nhãn. Với thiết kế độc đáo, Little Charm Hanoi Hostel mang đến không gian lưu trú làm hài lòng quý khách.
</p>
<img src='/static/images/hotels/Little Charm Hostel/LittleCharmHostel_review1.jpeg' style='width:800px; display:block; margin:20px auto;'>
<br>
<p style='font-size:18px; line-height:1.8; font-weight:bold; text-indent:2em;'>
Dành cho những du khách muốn du lịch thoải mái cùng ngân sách tiết kiệm, Little Charm Hanoi Hostel sẽ là lựa chọn lưu trú hoàn hảo, nơi cung cấp các tiện nghi chất lượng và dịch vụ tuyệt vời. Nếu dự định có một kỳ nghỉ dài, thì Little Charm Hanoi Hostel chính là lựa chọn dành cho quý khách. Với đầy đủ tiện nghi với chất lượng dịch vụ tuyệt vời, Little Charm Hanoi Hostel sẽ khiến quý khách cảm thấy thoải mái như đang ở nhà vậy.
</p>
<img src='/static/images/hotels/Little Charm Hostel/LittleCharmHostel_review2.jpeg' style='width:800px; display:block; margin:20px auto;'>
<br>
<p style='font-size:18px; line-height:1.8; font-weight:bold; text-indent:2em;'>
Du lịch một mình cũng không hề kém phần thú vị và Little Charm Hanoi Hostel là nơi thích hợp dành riêng cho những ai đề cao sự riêng tư trong kỳ lưu trú. Dịch vụ tuyệt vời, cơ sở vật chất hoàn chỉnh và các tiện nghi nơi nghỉ cung cấp sẽ khiến quý khách không thể phàn nàn trong suốt kỳ lưu trú tại Little Charm Hanoi Hostel. Hưởng thụ một ngày thư thái đầy thú vị tại hồ bơi dù quý khách đang du lịch một mình hay cùng người thân.
</p>
<img src='/static/images/hotels/Little Charm Hostel/LittleCharmHostel_review3.jpeg' style='width:800px; display:block; margin:20px auto;'>
<br>
<p style='font-size:18px; line-height:1.8; font-weight:bold; text-indent:2em;'>
Quầy tiếp tân 24 giờ luôn sẵn sàng phục vụ quý khách từ thủ tục nhận phòng đến trả phòng hay bất kỳ yêu cầu nào. Nếu cần giúp đỡ xin hãy liên hệ đội ngũ tiếp tân, chúng tôi luôn sẵn sàng hỗ trợ quý khách. Sóng WiFi phủ khắp các khu vực chung của nơi nghỉ cho phép quý khách luôn kết nối với gia đình và bè bạn. Little Charm Hanoi Hostel là nơi nghỉ sở hữu đầy đủ tiện nghi và dịch vụ xuất sắc theo nhận định của hầu hết khách lưu trú. Với những tiện nghi sẵn có, Little Charm Hanoi Hostel thực sự là một nơi lưu trú hoàn hảo.
</p>"

Hanoi Central Star,Hanoi,350000,1,2.8,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=60,FALSE,FALSE,FALSE,FALSE,"
<p style='font-size:18px; line-height:1.8; font-weight:bold; text-indent:2em;'>
Hanoi Central Star Hotel là một khách sạn hiện đại và sang trọng tọa lạc ngay trung tâm Hà Nội, chỉ cách Hồ Hoàn Kiếm và khu Phố Cổ vài phút đi bộ. Với vị trí thuận lợi, khách sạn là lựa chọn lý tưởng cho du khách muốn khám phá các điểm tham quan, quán cà phê truyền thống và ẩm thực địa phương.
</p>
<img src='/static/images/hotels/Hanoi Central Star Hotel/HanoiCentralStar_review1.jpg' style='width:800px; display:block; margin:20px auto;'>
<br>
<p style='font-size:18px; line-height:1.8; font-weight:bold; text-indent:2em;'>
Khách sạn được thiết kế tinh tế, ấm cúng và trang bị đầy đủ tiện nghi như điều hòa, TV màn hình phẳng, minibar cùng Wi-Fi tốc độ cao. Các phòng nghỉ được chăm chút tỉ mỉ nhằm mang đến không gian nghỉ ngơi thoải mái, phù hợp cho cả khách công tác và du lịch cùng gia đình.
</p>
<img src='/static/images/hotels/Hanoi Central Star Hotel/HanoiCentralStar_review2.jpg' style='width:800px; display:block; margin:20px auto;'>
<br>
<p style='font-size:18px; line-height:1.8; font-weight:bold; text-indent:2em;'>
Bên cạnh đó, Hanoi Central Star Hotel cung cấp nhiều tiện ích như nhà hàng phục vụ ẩm thực đa dạng, lễ tân 24/7, dịch vụ đặt tour và đưa đón sân bay. Nhân viên thân thiện, chuyên nghiệp luôn sẵn sàng hỗ trợ để chuyến đi của bạn trở nên thuận tiện và đáng nhớ.
</p>
<img src='/static/images/hotels/Hanoi Central Star Hotel/HanoiCentralStar_review3.jpg' style='width:800px; display:block; margin:20px auto;'>
<br>
<p style='font-size:18px; line-height:1.8; font-weight:bold; text-indent:2em;'>
Dù bạn lưu trú ngắn ngày hay dài ngày, Hanoi Central Star Hotel đem đến trải nghiệm nghỉ dưỡng tiện nghi, an toàn và ấm cúng giữa lòng thủ đô. Hãy chọn nơi đây làm điểm dừng chân để khám phá vẻ đẹp và nhịp sống đặc sắc của Hà Nội.
</p>"

